objectid,parentid,title,interviewee,interviewer,date,archival date,description,creator,subject,location,latitude,longitude,source,identifier,type,format,language,rightsstatement,rights,display_template,object_location,image_small,image_thumb,object-transcript,pdf,bio
armantrout,,Rae Armantrout Interview on Writing Practices,Rae Armantrout,"Becker, Devin",2014-03-27,"March 27, 2014","Interview with Rae Armantrout in San Diego, CA. Featured in the digital scholarship exhibit CTRL+Shift (ctrl-shift.html)",,poetry;writing practice;ipads;computers and writing;notebooks,"San Diego, CA",32.88250934,-117.2374555,CTRL+Shift,armantrout,image;movingimage,video/mp4,eng,http://rightsstatements.org/vocab/InC-EDU/1.0/,This item is protected by copyright and/or related rights. Permission must be obtained for any use or reproduction which is not educational and not-for-profit. Contact the University of Washington Tacoma Library with inquiries regarding use.,transcript,https://www.youtube.com/watch?v=BX_bURONf78,https://ctrl-shift.org/images/armantrout.jpg,https://ctrl-shift.org/images/armantrout.jpg,,,"
Rae Armantrout (born 13 April 1947) is an American poet generally associated with the Language poets. Armantrout was born in Vallejo, California, but grew up in San Diego. She has published ten books of poetry and has also been featured in a number of major anthologies. Armantrout currently teaches at the University of California, San Diego, where she is Professor of Poetry and Poetics"
gluck,,Louise Glück Interview on Writing Practices,Louise Glück,"Becker, Devin",2014-05-15,"May 15, 2015","Interview with Louise Glück in Cambridge, MA. Featured in the digital scholarship exhibit CTRL+Shift (ctrl-shift.html)",,poetry;writing practice;ipads;computers and writing,"Cambridge, MA",42.3730541,-71.10683299,CTRL+Shift,gluck,sound,audio/mp3,eng,http://rightsstatements.org/vocab/InC-EDU/1.0/,This item is protected by copyright and/or related rights. Permission must be obtained for any use or reproduction which is not educational and not-for-profit. Contact the University of Washington Tacoma Library with inquiries regarding use.,transcript,https://www.devinbecker.org/mp3/gluck.mp3,https://ctrl-shift.org/images/gluck.jpg,https://ctrl-shift.org/images/gluck.jpg,,https://ctrl-shift.org/data/txt/gluck.txt,"Louise Glück (1943-2023) was an American poet. She was appointed Poet Laureate Consultant in Poetry to the Library of Congress in 2003, and won the Nobel Prize in 2020. "
mohammad,,K. Silem Mohammad Interview on Writing Practices,K. Silem Mohammad,"Becker, Devin",2014-06-14,"June 14, 2014","Interview with K. Silem Mohammad in Ashland, OR. Featured in the digital scholarship exhibit CTRL+Shift (ctrl-shift.html)",,poetry;writing practice;flarf;computers and writing,"Ashland, OR","42.18569369721768,",-122.6951982,CTRL+Shift,mohammad,image;movingimage,video/mp4,eng,http://rightsstatements.org/vocab/InC-EDU/1.0/,This item is protected by copyright and/or related rights. Permission must be obtained for any use or reproduction which is not educational and not-for-profit. Contact the University of Washington Tacoma Library with inquiries regarding use.,transcript,https://www.youtube.com/watch?v=tgji2thf1og,,,,,"K. Silem Mohammad was born in Modesto, California, in 1962. He graduated with a BA from the University of California, Santa Cruz in 1991, and from Stanford University with a PhD in 1998. His work has appeared in numerous journals and anthologies, including Poetry,[2] The Nation,[3] Fence,[4] Postmodern American Poetry: A Norton Anthology, and Against Expression: An Anthology of Conceptual Writing. He edits the literary journals West Wind Review and Abraham Lincoln: A Magazine of Poetry. He is one of the Flarf poets."
wrigley,,Robert Wrigley Interview on Writing Practices,Robert Wrigley,"Becker, Devin",2013,2013,"Interview with Robert Wrigley in Moscow, ID. Featured in the digital scholarship exhibit CTRL+Shift (ctrl-shift.html)",,poetry;writing practice;notebooks;computers and writing,"Moscow, ID",46.80470201,-116.8637698,CTRL+Shift,wrigley,image;movingimage,video/mp4,eng,http://rightsstatements.org/vocab/InC-EDU/1.0/,This item is protected by copyright and/or related rights. Permission must be obtained for any use or reproduction which is not educational and not-for-profit. Contact the University of Washington Tacoma Library with inquiries regarding use.,transcript,https://soundcloud.com/user-944694772/robert-wrigley-ctrl-shift-interview-conducted-by-devin-becker,https://ctrl-shift.org/images/wrigley/jpg/wrigley017.jpg,https://ctrl-shift.org/images/wrigley/jpg/wrigley017.jpg,,/objects/wrigley.pdf,"Robert Wrigley’s poems have been published in a number of journals, including Poetry, The Atlantic, Barrow Street, and The New Yorker.[2] In 2003 and 2006 he had poems published in Best American Poetry, and in 2013, his poem “Religion” appeared in The Best of the Best American Poetry: 25th Anniversary Edition, selected by Robert Pinsky. Wrigley is also the recipient of six Pushcart Prizes. Reign of Snakes won the Kingsley Tufts Poetry Award; Lives of the Animals won the 2005 Poets’ Prize. In the Bank of Beautiful Sins won the San Francisco Poetry Center Book Award."
